Query;run1;run2;run3;run4;run5;run6;avg;numResults;minRes;maxRes;
bigrdfdataC_1;2733;4342;4263;-1;-1;-1;1890;999;-1;1000;
bigrdfdataC_2;1827;1938;1692;-1;-1;-1;910;4;-1;4;
bigrdfdataC_3;16519;15664;15452;-1;-1;-1;7939;9;-1;9;
bigrdfdataC_4;64406;65946;69908;-1;-1;-1;33377;50;-1;50;
bigrdfdataC_5;81095;76732;74659;-1;-1;-1;38748;500;-1;500;
bigrdfdataC_6;80743;63990;-1;-1;-1;-1;24122;148;-1;148;
bigrdfdataC_7;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;
bigrdfdataC_8;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;
bigrdfdataC_9;20411;-1;-1;-1;-1;-1;3402;100;-1;100;
